date,FL154090005.A,FL144090005.A,FL314090005.A,FL214090005.A,FL384090005.A,FL794090005.A,FL264090005.A,FL894090005.A,FL907005015.A,FL154190005.A,FL144194005.A,FL314190005.A,FL214190005.A,FL384194005.A,FL794194005.A,FL264194005.A,FL894194005.A,FL154190005.A,FL144190005.A,FL314190005.A,FL214190005.A,FL384190005.A,FL794190005.A,FL264190005.A,FL894190005.A,FL313011005.A,FL313111303.A,FL313011005.A,FL313111303.A,FL713011005.A,FL263011005.A,FL263111005.A,FL893011005.A,FL893111005.A,FL903011005.A,FL713014003.A,FL713014003.A,FL713014003.A,FL713014003.A,FL713014003.A,FL313112003.A,FL313112003.A,FL713012003.A,FL713012003.A,FL313112003.A,FL903012005.A,FL153091003.A,FL103091003.A,FL383091005.A,FL633091003.A,FL263191005.A,FL893091005.A,FL263191005.A,FL903091005.A,FL794010005.A,FL794110005.A,FL264016005.A,FL894010005.A,FL794110005.A,FL904010005.A,FL153020005.A,FL143020005.A,FL313020005.A,FL213020005.A,FL383020005.A,FL793020005.A,FL793120005.A,FL263020005.A,FL893020005.A,FL793120005.A,FL903020005.A,FL153030005.A,FL143030005.A,FL313030003.A,FL213030000.A,FL383030005.A,FL793030005.A,FL703130005.A,FL263030005.A,FL703130005.A,FL703130005.A,FL153034005.A,FL143034005.A,FL213034003.A,FL383034005.A,FL793034005.A,FL634090005.A,FL263034003.A,FL634090005.A,FL634090005.A,FL102051003.A,FL212051003.A,FL382051005.A,FL792050005.A,FL792150005.A,FL262051005.A,FL262151003.A,FL892050005.A,FL892150005.A,FL902050005.A,FL154022005.A,FL163162003.A,FL144022005.A,FL104122005.A,FL314022005.A,FL314122005.A,FL214022005.A,FL213162005.A,FL384022005.A,FL384122005.A,FL794022005.A,FL794122005.A,FL264022005.A,FL264122005.A,FL894022005.A,FL894122005.A,FL904022005.A,FL103069100.A,FL103169100.A,FL213069103.A,FL383069105.A,FL103169100.A,FL793069175.A,FL793169175.A,FL263069103.A,FL263169105.A,FL893169175.A,FL893169175.A,FL153061105.A,FL143061105.A,FL313161105.A,FL213061105.A,FL383061105.A,FL313161105.A,FL793061105.A,FL263061105.A,FL893061105.A,FL313161105.A,FL903061103.A,FL153061705.A,FL103061703.A,FL313061703.A,FL313161705.A,FL213061703.A,FL383061705.A,FL313161705.A,FL793061705.A,FL423161705.A,FL263061705.A,FL893061705.A,FL893161705.A,FL903061703.A,FL153062005.A,FL163162003.A,FL143062005.A,FL103162000.A,FL213062003.A,FL213162005.A,FL383062005.A,FL383162005.A,FL793062005.A,FL263062003.A,FL893062005.A,FL383162005.A,FL903062003.A,FL153063005.A,FL103163003.A,FL313063763.A,FL213063003.A,FL383063005.A,FL103163003.A,FL793063005.A,FL793163005.A,FL263063005.A,FL263163005.A,FL893063005.A,FL893163005.A,FL903063003.A,FL154023005.A,FL154123005.A,FL144023005.A,FL144123005.A,FL314023005.A,FL314123005.A,FL213065005.A,FL213169203.A,FL384023005.A,FL384123005.A,FL794023005.A,FL794123005.A,FL263069500.A,FL264123005.A,FL894123005.A,FL894123005.A,FL153168005.A,FL143168005.A,FL383168005.A,FL793068005.A,FL793168005.A,FL263168005.A,FL793068005.A,FL793068005.A,FL153069005.A,FL153169005.A,FL143169005.A,FL313069005.A,FL313169003.A,FL213169203.A,FL383069005.A,FL383169005.A,FL793069005.A,FL793169005.A,FL263069500.A,FL263169005.A,FL893169005.A,FL893169005.A,FL153065005.A,FL153165005.A,FL143065005.A,FL143165005.A,FL313065005.A,FL313165403.A,FL213065005.A,FL383065005.A,FL383165005.A,FL793065005.A,FL123165005.A,FL893065005.A,FL893065005.A,FL163066223.A,FL153166000.A,FL143066005.A,FL313066220.A,FL383066005.A,FL153166000.A,FL793066005.A,FL153166000.A,FL153166000.A,FL153064105.A,LM103064103.A,LM103164103.A,FL313064105.A,FL213064103.A,FL383064105.A,FL103164103.A,FL793064105.A,FL793164105.A,FL263064105.A,FL263164100.A,FL893064105.A,FL893064105.A,FL153064205.A,FL103064203.A,FL213064203.A,FL383064205.A,FL793064205.A,FL653164205.A,FL263064203.A,FL653164205.A,FL653164205.A,FL163070005.A,FL163170005.A,FL143070005.A,FL143170005.A,FL313070000.A,FL313170005.A,FL213070003.A,FL213170003.A,FL383070005.A,FL383170005.A,FL793070005.A,FL793170005.A,FL263070005.A,FL263170005.A,FL893070005.A,FL893170005.A,FL903070005.A,FL153040005.A,FL313140003.A,FL153040005.A,FL313140003.A,FL793040005.A,FL543140005.A,FL543141905.A,FL263140005.A,FL893140005.A,FL893140005.A,FL153050005.A,FL153050005.A,FL543050005.A,FL583150005.A,FL543151905.A,FL263150005.A,FL893150005.A,FL893150005.A,FL143178005.A,FL313078000.A,FL213078005.A,FL383078005.A,FL143178005.A,FL793178005.A,FL893078005.A,FL893178005.A,FL903078005.A,FL152090205.A,FL112090205.A,FL152090205.A,FL112090205.A,FL662090003.A,FL152090205.A,FL152090205.A,FL103092305.A,FL103092305.A,FL793092305.A,FL263192305.A,FL263192305.A,FL263192305.A,FL103092105.A,FL103092105.A,FL793092105.A,FL263192101.A,FL263192101.A,FL263192101.A,FL143192305.A,FL143192305.A,FL793192305.A,FL263092303.A,FL263092303.A,FL263092303.A,FL143192105.A,FL143192105.A,FL793192105.A,FL263092101.A,FL263092101.A,FL263092101.A,FL153090005.A,FL543077073.A,FL143090005.A,FL143190005.A,FL313090005.A,FL313190005.A,FL213093003.A,FL223073045.A,FL383090005.A,FL383190005.A,FL793090005.A,FL793190005.A,FL263076005.A,FL263190005.A,FL893090005.A,FL893190005.A,FL903090005.A
1956,1262014,180575,41570,31483,1515642,679006,26301,2220949,-39475,159600,867974,328098,90397,1446069,688938,46467,2181474,159600,235534,328098,90397,813629,635227,22212,1471068,1776,0,1776,0,21890,0,1608,23666,1608,-22058,0,0,0,0,0,2526,2526,4910,4910,2526,-2384,0,138,138,0,138,138,138,0,24010,23107,1643,25653,23107,-2546,71871,47085,5009,7628,131593,4834,147602,1753,138180,147602,9422,115230,1000,330,2400,118960,1085,122702,2657,122702,122702,0,0,0,0,0,0,0,0,0,0,1292,1292,827,44,0,0,2119,44,-2075,99195,0,18765,58418,9,235039,15226,49862,133195,343319,217149,10905,7261,3381,357605,357605,0,305,378,0,305,378,2251,2849,671,0,3227,3227,70225,16718,233683,11988,98931,233683,128663,6089,233683,233683,0,959,400,9,1356,758,2126,1356,2827,3597,0,4953,4953,0,21900,0,1342,0,2480,49862,25722,49862,24140,0,49862,49862,0,6111,58040,0,0,6111,58040,59268,4459,501,3381,65880,65880,0,25209,156401,11762,90472,21590,0,721,519,59282,247392,212440,11015,0,13315,271722,271722,1181,37026,38207,47961,8544,1210,47961,47961,882,7034,10605,17946,0,519,18828,18158,13906,2471,0,12105,32734,32734,24327,101606,54,42841,3644,0,721,28746,144447,115701,0,144447,144447,0,46580,11708,0,11708,46580,34872,46580,46580,287591,0,268373,0,0,287591,268373,29066,52620,6961,2625,323618,323618,9046,0,0,9046,0,9046,0,9046,9046,0,1530,72860,62072,2350,2608,3127,4076,78337,70286,1291,230,567,788,80195,71304,-8891,72724,6098,72724,6098,0,66626,0,0,72724,72724,207775,207775,0,207775,0,0,207775,207775,16754,8099,556,8655,16754,1452,8655,18206,9551,360825,360825,360825,360825,0,360825,360825,846,846,29,875,875,875,20894,20894,736,21630,21630,21630,843,843,283,1126,1126,1126,3242,3242,1091,4333,4333,4333,12548,1669,7225,6975,2407,81827,533,35940,22713,126411,160739,34440,0,2107,183452,162958,-20494
1957,1304173,185407,42333,31835,1563748,729649,25964,2319361,-45100,172076,870014,342600,99133,1483823,739120,51318,2274261,172076,247636,342600,99133,861445,684646,24679,1570770,2080,0,2080,0,22752,0,1975,24832,1975,-22857,0,0,0,0,0,2562,2562,4990,4990,2562,-2428,0,131,131,0,131,131,131,0,23843,22140,1395,25238,22140,-3098,70971,47786,5145,7018,130920,4953,147124,2102,137975,147124,9149,127167,1000,301,2783,131251,1216,135000,2533,135000,135000,0,0,0,0,0,0,0,0,0,0,1820,1820,1132,30,0,0,2952,30,-2922,103997,0,18303,64494,13,233144,14989,54369,137302,352007,225407,14361,7475,3816,370184,370184,0,435,422,0,435,422,2677,3644,954,0,4066,4066,71507,15589,231465,11660,98756,231465,126779,5930,231465,231465,0,1463,800,13,1679,739,3015,1679,3685,5021,0,6700,6700,0,23851,0,1479,0,2590,54369,27920,54369,26449,0,54369,54369,0,7176,64072,0,0,7176,64072,65817,5696,591,3816,73584,73584,0,27177,168575,11844,96516,22182,96,923,670,62126,265857,228469,10576,0,14162,290595,290595,1568,38703,40271,50144,8336,1537,50144,50144,894,7160,11898,18257,0,670,19151,19728,15442,2240,0,12625,34593,34593,26283,110630,72,45915,3925,96,923,31203,156641,125438,0,156641,156641,0,49217,11772,0,11772,49217,37445,49217,49217,266234,0,245747,0,0,266234,245747,29050,53395,6091,2233,301375,301375,8714,0,0,8714,0,8714,0,8714,8714,0,1658,73814,63944,2261,2769,3238,4839,79313,73210,1451,250,658,876,81422,74336,-7086,75462,6185,75462,6185,0,69277,0,0,75462,75462,238362,238362,0,238362,0,0,238362,238362,14621,7252,524,7776,14621,1635,7776,16256,8480,373178,373178,373178,373178,0,373178,373178,955,955,33,988,988,988,23569,23569,837,24406,24406,24406,898,898,280,1178,1178,1178,3453,3453,1079,4532,4532,4532,12911,1843,8005,7163,3099,97844,540,39255,24555,146105,185516,36897,0,2731,210071,185733,-24338
1958,1434612,199694,43828,32458,1710592,790964,29455,2531011,-44477,184149,977661,361631,110044,1633485,796649,56400,2486534,184149,262048,361631,110044,917872,741188,26962,1686022,2041,0,2041,0,20499,0,1958,22540,1958,-20582,0,0,0,0,0,2600,2600,5078,5078,2600,-2478,0,149,149,0,149,149,149,0,23095,20864,1473,24568,20864,-3704,73698,50418,5453,6808,136377,5194,152969,2006,143577,152969,9392,141266,1900,327,3589,147082,1366,151862,3414,151862,151862,0,0,0,0,0,0,0,0,0,0,1417,1417,643,32,0,0,2060,32,-2028,102011,0,18860,70373,3,242842,14961,59819,135835,373034,248474,14064,7523,4734,391832,391832,0,210,658,0,210,658,3000,3395,843,0,4053,4053,68638,16092,241244,11627,96357,241244,138852,6035,241244,241244,0,833,600,3,1598,597,2033,1598,4680,5115,0,6713,6713,0,24616,0,1958,0,2737,59819,29311,59819,30508,0,59819,59819,0,7924,69715,0,0,7924,69715,71434,5554,645,4734,80003,80003,0,30043,180371,12010,101772,23626,532,1135,850,66814,283525,243431,11606,0,15114,310245,310245,1239,38938,40177,51260,9092,1991,51260,51260,1156,8591,12344,19291,0,850,20447,21785,16975,2514,0,13123,37422,37422,28887,121051,87,50490,4335,532,1135,34444,172073,137629,0,172073,172073,0,49490,11923,0,11923,49490,37567,49490,49490,333401,0,324670,0,0,333401,324670,40345,54286,8305,3095,382051,382051,13242,0,0,13242,0,13242,0,13242,13242,0,1809,81217,69251,1723,2832,3499,5685,86439,79577,1599,260,619,871,88657,80708,-7949,78535,6241,78535,6241,0,72294,0,0,78535,78535,261909,261909,0,261909,0,0,261909,261909,12026,7227,588,7815,12026,1698,7815,13724,5909,387265,387265,387265,387265,0,387265,387265,1028,1028,38,1066,1066,1066,25415,25415,928,26343,26343,26343,957,957,305,1262,1262,1262,3678,3678,1175,4853,4853,4853,13242,1969,8697,7670,3428,106584,461,43690,25828,159913,200274,40083,0,3070,226102,203066,-23036
1959,1516434,212652,45931,34609,1809625,841827,34574,2686026,-38393,206702,1039261,378813,116782,1741558,845700,60375,2647633,206702,284469,378813,116782,986766,789504,28019,1804289,2110,0,2110,0,19394,0,1997,21504,1997,-19507,0,0,0,0,0,2639,2639,5155,5155,2639,-2516,0,132,132,0,132,132,132,0,23229,21622,1415,24644,21622,-3022,75548,47933,6111,8479,138071,5364,154416,2140,145575,154416,8841,152525,1500,285,3179,157489,1584,161648,2575,161648,161648,0,0,0,0,0,0,0,0,0,0,576,576,612,133,0,0,1188,133,-1055,110430,0,25357,73109,2,250333,16102,65661,151891,389103,248630,17917,11706,5207,412227,412227,0,742,315,0,742,315,2866,4050,757,0,4365,4365,71584,21621,249384,12842,106047,249384,132977,10360,249384,249384,0,2267,1200,2,949,546,4015,949,4257,7323,0,8272,8272,0,28362,0,1794,0,2714,65661,32870,65661,32791,0,65661,65661,0,8217,72794,0,0,8217,72794,75739,6544,589,5207,84545,84545,0,30443,202315,13564,113785,25682,847,1390,1035,71079,317982,276787,14407,0,15477,347866,347866,1424,43782,45206,59837,12492,2139,59837,59837,-358,9206,14194,20077,0,1035,19719,24435,19969,1915,0,13338,39688,39688,30801,134472,21,55809,5605,847,1390,37817,191128,153311,0,191128,191128,0,57213,13543,0,13543,57213,43670,57213,57213,364442,0,362157,0,0,364442,362157,47015,54974,9363,3689,420820,420820,15818,0,0,15818,0,15818,0,15818,15818,0,2200,85620,74132,1722,2903,3875,6581,91217,85816,1782,280,771,964,93770,87060,-6710,81956,6350,81956,6350,0,75606,0,0,81956,81956,282854,282854,0,282854,0,0,282854,282854,14150,6578,536,7114,14150,1387,7114,15537,8423,388616,388616,388616,388616,0,388616,388616,1118,1118,42,1160,1160,1160,27634,27634,1033,28667,28667,28667,1046,1046,317,1363,1363,1363,4019,4019,1222,5241,5241,5241,13801,2187,9794,8247,3441,115741,472,43505,27508,169680,211200,43099,0,3082,238708,215861,-22847
1960,1577790,215094,47361,37237,1877482,899796,36920,2814198,-39726,224550,1068182,387873,128567,1809172,899840,65461,2774473,224550,300243,387873,128567,1041233,842656,30851,1914740,1693,0,1693,0,17666,0,1555,19359,1555,-17804,0,0,0,0,0,2686,2686,5242,5242,2686,-2556,0,148,148,0,148,148,148,0,22320,21336,2203,24523,21336,-3187,77538,46287,7154,8466,139445,5498,156322,2122,147065,156322,9257,164461,3000,262,4557,172280,1798,176937,2859,176937,176937,0,0,0,0,0,0,0,0,0,0,-176,-176,1160,108,0,0,984,108,-876,114846,0,20038,76985,37,248820,17536,70971,152457,396776,261109,23616,12610,5784,426176,426176,0,788,769,0,788,769,4465,5775,1291,0,6544,6544,72194,15752,248132,13739,101685,248132,135796,10651,248132,248132,0,1033,1116,37,688,1050,3236,688,5513,8061,0,8749,8749,0,31007,0,2382,0,2747,70971,36136,70971,34835,0,70971,70971,0,10612,76216,0,0,10612,76216,80500,9780,668,5784,91780,91780,0,33623,219861,12849,123631,26678,1252,1582,1240,74732,345984,301981,14093,0,16636,376713,376713,2122,46509,48631,62903,12027,2245,62903,62903,48,9901,16555,20878,0,1240,20926,27696,23227,2066,0,14391,44153,44153,33575,146590,24,60567,5800,1252,1582,40981,208409,167428,0,208409,208409,0,61248,12825,0,12825,61248,48423,61248,61248,364553,0,365166,0,0,364553,365166,51203,55908,9302,3984,425058,425058,17026,0,0,17026,0,17026,0,17026,17026,0,2310,90865,77549,1790,3359,4214,7501,96869,90719,1934,290,899,1725,99702,92734,-6968,85184,6426,85184,6426,0,78758,0,0,85184,85184,307674,307674,0,307674,0,0,307674,307674,12560,5613,535,6148,12560,2364,6148,14924,8776,398552,398552,398552,398552,0,398552,398552,1192,1192,47,1239,1239,1239,29478,29478,1148,30626,30626,30626,1098,1098,331,1429,1429,1429,4220,4220,1276,5496,5496,5496,14332,2379,11238,8421,4134,125330,523,48855,30227,184985,228690,43801,0,3764,258917,232550,-26367
1961,1729608,228380,50836,39636,2048460,974370,41408,3064238,-34910,242913,1176771,406524,140533,1966741,990486,72101,3029328,242913,318997,406524,140533,1108967,910533,33832,2053332,1911,0,1911,0,16842,0,1806,18753,1806,-16947,0,0,0,0,0,2740,2740,5429,5429,2740,-2689,0,236,236,0,236,236,236,0,23491,22210,2089,25580,22210,-3370,76926,49835,7055,8438,142254,6007,162367,3098,151359,162367,11008,182845,4100,284,5465,192694,2071,197676,2911,197676,197676,0,0,0,0,0,0,0,0,0,0,-55,-55,891,274,0,0,836,274,-562,115882,0,18828,81705,35,256702,18285,76349,153030,414756,280451,25568,13064,6221,446545,446545,0,1089,1094,0,1089,1094,4947,6302,1360,0,7396,7396,71944,14096,255707,14002,100042,255707,144630,11035,255707,255707,0,592,1248,35,995,1520,3395,995,6364,8764,0,9759,9759,0,32506,0,2395,0,2763,76349,37664,76349,38685,0,76349,76349,0,10840,80611,0,0,10840,80611,85825,10502,669,6221,97334,97334,0,36094,237901,12780,132999,28340,1474,1849,1466,79063,373840,328341,15372,0,18192,407404,407404,2992,48044,51036,67109,13346,2727,67109,67109,-740,11700,17234,22091,0,1466,21351,30400,26540,2026,0,15465,47891,47891,36834,159774,33,67721,6249,1474,1849,44965,228969,184004,0,228969,228969,0,63435,12747,0,12747,63435,50688,63435,63435,443217,0,437674,0,0,443217,437674,66069,78518,11808,4902,521094,521094,22875,0,0,22875,0,22875,0,22875,22875,0,2500,97157,80812,1776,3618,4521,8496,103454,95426,1993,300,1185,1831,106632,97557,-9075,88631,6519,88631,6519,0,82112,0,0,88631,88631,332393,332393,0,332393,0,0,332393,332393,13274,6875,625,7500,13274,1392,7500,14666,7166,415779,415779,415779,415779,0,415779,415779,1299,1299,51,1350,1350,1350,32088,32088,1279,33367,33367,33367,1125,1125,372,1497,1497,1497,4321,4321,1435,5756,5756,5756,14966,2512,12057,9082,4560,135471,508,54222,32091,201287,241455,47622,0,4196,273546,253105,-20441
1962,1780428,240246,53841,43020,2117535,1037374,42256,3197165,-32880,265049,1203532,425742,145017,2039340,1047867,77078,3164285,265049,341738,425742,145017,1177546,971708,36538,2185792,1209,0,1209,0,16011,0,1163,17220,1163,-16057,0,0,0,0,0,2760,2760,5411,5411,2760,-2651,0,790,790,0,790,790,790,0,24913,21822,1736,26649,21822,-4827,77148,52727,8098,8530,146503,6330,167739,3233,156066,167739,11673,208828,5000,269,6450,220547,2362,226318,3409,226318,226318,0,0,0,0,0,0,0,0,0,0,466,466,1660,671,0,0,2126,671,-1455,116251,0,17583,85841,0,264310,19597,81800,153431,431951,299650,28712,14797,7215,467878,467878,0,1304,1198,0,1304,1198,5985,7478,1387,0,8676,8676,73718,12307,262772,15157,101182,262772,149211,12379,262772,262772,0,235,1275,0,1538,1867,3377,1538,8225,10401,337,11939,11939,0,32087,0,2697,0,2573,81800,37357,81800,44443,0,81800,81800,0,10211,84643,0,0,10211,84643,91786,10833,694,7215,102691,102691,0,38142,259752,13759,146927,30323,1734,2100,1970,84324,410383,362745,17633,0,19053,447069,447069,3450,52799,56249,74085,14929,2907,74085,74085,-864,12308,18074,24002,0,1970,23138,32352,28064,2704,0,16146,51202,51202,39006,174650,54,76054,6321,1734,2100,47481,252438,204957,0,252438,252438,0,69344,13705,0,13705,69344,55639,69344,69344,431230,0,424314,0,0,431230,424314,62257,74795,10336,4714,503823,503823,20909,168,0,21077,194,21271,0,21271,21271,0,2630,101234,83634,2005,4051,4844,9543,108083,99858,2201,320,1190,2304,111474,102482,-8992,92398,6644,92398,6644,0,85754,0,0,92398,92398,347129,347129,0,347129,0,0,347129,347129,14355,7016,652,7668,14355,1947,7668,16302,8634,432848,432848,432848,432848,0,432848,432848,1392,1392,58,1450,1450,1450,34401,34401,1425,35826,35826,35826,1205,1205,354,1559,1559,1559,4632,4632,1364,5996,5996,5996,15545,2667,13192,9776,4921,146243,381,51704,34039,210390,252157,52038,0,4563,286196,266991,-19205
1963,1877148,255548,57473,46527,2236696,1123290,47404,3407390,-10061,294004,1278520,442616,155729,2170869,1142227,84233,3397329,294004,369497,442616,155729,1261846,1053239,39936,2355021,1229,0,1229,0,15614,0,1247,16843,1247,-15596,0,0,0,0,0,2806,2806,5422,5422,2806,-2616,0,731,731,0,731,731,731,0,23939,20667,1853,25792,20667,-5125,81977,51445,7671,9466,150559,6222,172925,3499,160280,172925,12645,234936,5687,260,8093,248976,2616,255852,4260,255852,255852,0,0,0,0,0,0,0,0,0,0,-745,-745,1807,1022,0,0,1062,1022,-40,115129,0,21492,89382,29,269212,21050,87040,157700,445634,313423,33174,15893,8208,487016,487016,0,969,968,0,969,968,7303,8741,1437,0,9709,9709,72892,15128,267845,16314,104334,267845,150478,13033,267845,267845,0,0,1608,29,1367,2402,4039,1367,8705,12049,672,13416,13416,0,32094,0,3787,0,2334,87040,38215,87040,48825,0,87040,87040,0,10143,88414,0,0,10143,88414,98112,12384,751,8208,109006,109006,0,39382,288211,14958,162774,31848,1796,2297,2203,88485,454984,408595,20951,0,21145,497080,497080,3794,57354,61148,81834,17313,3373,81834,81834,-1146,14502,20005,25926,0,2203,24780,36710,33340,3638,0,17772,58120,58120,40528,192045,60,85415,5922,1796,2297,48807,279256,230449,0,279256,279256,0,77870,14898,0,14898,77870,62972,77870,77870,457229,12666,465779,0,0,469895,465779,76095,87551,12485,5145,558475,558475,24819,203,0,25022,193,25215,0,25215,25215,0,2940,107041,89609,2490,4381,5308,10685,114839,107615,2332,330,1579,1949,118750,109894,-8856,96635,6775,96635,6775,0,89860,0,0,96635,96635,372399,372399,0,372399,0,0,372399,372399,15744,8571,730,9301,15744,1548,9301,17292,7991,438463,438463,438463,438463,0,438463,438463,1519,1519,65,1584,1584,1584,37562,37562,1590,39152,39152,39152,1243,1243,374,1617,1617,1617,4781,4781,1437,6218,6218,6218,16178,2853,2245,10745,5375,157646,328,55801,24126,227045,265377,58922,0,5072,289503,291039,1536
1964,2043029,270973,60522,50717,2425241,1218450,56394,3700085,-3732,323369,1408438,462235,168186,2362228,1241241,92885,3696354,323369,399403,462235,168186,1353193,1143685,44865,2541743,1034,0,1034,0,15638,0,1201,16672,1201,-15471,0,0,0,0,0,2830,2830,5249,5249,2830,-2419,0,1097,1097,0,1097,1097,1097,0,25144,20855,1779,26923,20855,-6068,84785,50857,8165,10728,154535,6300,181840,8253,169088,181840,12752,261041,6671,272,9812,277796,2960,286271,5515,286271,286271,0,0,0,0,0,0,0,0,0,309,-1758,-1449,2823,1914,0,0,1374,1914,540,118960,0,20855,93533,12,276483,22488,93160,162315,463176,331450,38822,16908,8675,510673,510673,0,1694,1125,0,1694,1125,8547,10736,1620,0,11861,11861,73571,14481,274261,17333,105385,274261,155555,13321,274261,274261,0,245,1000,12,2222,2932,4189,2222,9586,12561,1008,14783,14783,0,34854,0,3680,0,2223,93160,40757,93160,52403,0,93160,93160,0,10290,92408,0,0,10290,92408,105359,15525,959,8675,116608,116608,0,41275,317130,16144,180659,34633,1826,2524,2464,94576,502079,453986,22221,0,24262,548562,548562,5134,62741,67875,90007,17588,4544,90007,90007,-823,14765,22589,28760,0,2464,27937,39818,36232,4633,0,19718,64169,64169,42098,209879,84,95329,5873,1826,2524,50579,307034,256455,0,307034,307034,0,87352,16060,0,16060,87352,71292,87352,87352,530283,13844,545955,0,0,544127,545955,89284,96021,13835,5270,647246,647246,28447,253,0,28700,416,29116,0,29116,29116,0,3200,115728,96002,2734,4476,5840,11933,124302,115611,2484,350,1957,2697,128743,118658,-10085,101051,6879,101051,6879,0,94172,0,0,101051,101051,401876,401876,0,401876,0,0,401876,401876,16211,8231,774,9005,16211,1759,9005,17970,8965,458148,458148,458148,458148,0,458148,458148,1658,1658,72,1730,1730,1730,40974,40974,1776,42750,42750,42750,1282,1282,399,1681,1681,1681,4931,4931,1535,6466,6466,6466,17163,3039,2583,11716,5441,169741,309,60629,25496,245125,280868,64090,0,5203,306364,314418,8054
1965,2224499,299012,63430,56894,2643835,1324181,59099,4027115,5312,352786,1557701,479162,183189,2572838,1353514,106076,4032428,352786,443594,479162,183189,1458731,1245936,47773,2752440,1396,0,1396,0,14313,0,1644,15709,1644,-14065,0,0,0,0,0,3064,3064,5419,5419,3064,-2355,0,781,781,0,781,781,781,0,25642,21657,1753,27395,21657,-5738,91520,51276,6750,10151,159697,6454,189131,8509,174660,189131,14471,288514,8993,250,12186,309943,3417,319441,6081,319441,319441,0,0,0,0,0,0,0,0,0,593,-708,-115,3635,2458,0,0,3520,2458,-1062,121426,0,19756,98057,45,279407,24791,100397,166018,477861,346967,43374,17385,9135,530370,530370,0,1370,797,0,1370,797,9374,11929,1982,0,12726,12726,74762,12548,276737,19524,106834,276737,156847,13056,276737,276737,0,1132,1238,45,2670,3100,5515,2670,10526,14715,1344,17385,17385,0,36531,0,4600,0,2167,100397,43298,100397,57099,0,100397,100397,0,9001,97260,0,0,9001,97260,113121,16730,1003,9135,123125,123125,0,42301,345863,17354,205730,37540,1845,2713,2777,99908,556215,509253,26776,0,26170,609161,609161,4707,75187,79894,105630,20753,4983,105630,105630,-310,15956,25589,31686,0,2777,31376,44322,40156,6023,0,21187,71532,71532,42611,227711,88,104954,5854,1845,2713,51266,334510,283244,0,334510,334510,0,97489,17266,0,17266,97489,80223,97489,97489,600948,15148,623812,0,0,616096,623812,104228,106063,14599,5048,734923,734923,34410,330,0,34740,480,35220,0,35220,35220,0,3620,128822,107342,3122,5048,6603,13314,138547,129324,2649,370,2240,2669,143436,132363,-11073,105876,7013,105876,7013,0,98863,0,0,105876,105876,435926,435926,0,435926,0,0,435926,435926,18294,8880,851,9731,18294,1786,9731,20080,10349,485038,485038,485038,485038,0,485038,485038,2074,2074,81,2155,2155,2155,51270,51270,1985,53255,53255,53255,1368,1368,393,1761,1761,1761,5256,5256,1515,6771,6771,6771,18540,3303,2615,12803,5447,182785,307,66701,26909,265592,299658,70541,0,5219,326567,341352,14786
1966,2272168,314422,66432,60981,2714003,1415214,61776,4190993,-121,376022,1558132,500431,199283,2633868,1445434,111570,4190872,376022,486038,500431,199283,1561774,1335793,50500,2948067,905,0,905,0,13977,0,1647,14882,1647,-13235,0,0,0,0,0,3963,3963,6161,6161,3963,-2198,0,885,885,0,885,885,885,0,27927,28162,4444,32371,28162,-4209,93353,50584,6370,10691,160998,6564,193589,9225,176787,193589,16802,307135,8603,220,13462,329420,3952,339785,6413,339785,339785,0,0,0,0,0,0,0,0,0,895,805,1700,4834,2858,0,0,6534,2858,-3676,137202,0,18572,109096,1355,284318,24583,106633,181712,500047,365154,54210,17261,9870,564127,564127,0,2852,1622,0,2852,1622,12220,15662,2212,0,17284,17284,79080,11054,280293,20097,110231,280293,158910,11152,280293,280293,0,5850,1027,1355,4025,2361,10593,4025,11970,20218,1680,24243,24243,0,41151,0,3639,0,2125,106633,46915,106633,59718,0,106633,106633,0,11121,107474,0,0,11121,107474,122336,18330,2217,9870,135674,135674,0,44552,368393,17499,229106,41448,1783,2888,3404,106387,602686,551394,27688,0,27407,657781,657781,5378,86011,91389,116906,20715,4802,116906,116906,-65,17891,28043,34557,0,3404,34492,49338,44424,6973,0,22605,78916,78916,44617,241702,114,115052,6891,1783,2888,54510,358537,304027,0,358537,358537,0,103422,17385,0,17385,103422,86037,103422,103422,531417,16847,547891,0,0,548264,547891,99517,108209,12643,4324,660424,660424,33850,425,0,34275,554,34829,0,34829,34829,0,3970,141759,115347,4371,5831,7244,14849,153374,139997,2898,410,2843,3011,159115,143418,-15697,110568,7120,110568,7120,0,103448,0,0,110568,110568,475695,475695,0,475695,0,0,475695,475695,17414,6057,856,6913,17414,1741,6913,19155,12242,518534,518534,518534,518534,0,518534,518534,2207,2207,89,2296,2296,2296,54524,54524,2222,56746,56746,56746,1474,1474,372,1846,1846,1846,5669,5669,1432,7101,7101,7101,19863,3659,1622,13601,5706,197416,452,74397,27643,289073,329971,73006,0,5384,357614,367463,9850
